"Year","Cancer_code","Cancer_name","Sex_code","Sex_name","SA2_code","SA2_name","p025","p10","p50","p90","p975","Prob"
"2010-2014",39,"Prostate",1,"Males",71063,"East Arnhem",0.41,0.45,0.55,0.66,0.73,1
"2010-2014",39,"Prostate",1,"Males",71064,"Nhulunbuy",0.45,0.52,0.7,0.93,1.07,0.898
"2010-2014",39,"Prostate",1,"Males",71065,"Elsey",0.46,0.5,0.58,0.67,0.72,1
"2010-2014",39,"Prostate",1,"Males",71066,"Gulf",0.45,0.49,0.58,0.69,0.75,1
"2010-2014",39,"Prostate",1,"Males",71067,"Katherine",0.4,0.45,0.53,0.64,0.7,1
"2010-2014",39,"Prostate",1,"Males",71068,"Victoria River",0.47,0.5,0.58,0.67,0.73,1
"2010-2014",39,"Prostate",1,"Males",81001,"Aranda",0.85,0.92,1.05,1.21,1.3,0.368
"2010-2014",39,"Prostate",1,"Males",81002,"Belconnen",0.84,0.89,1.01,1.14,1.22,0.077
"2010-2014",39,"Prostate",1,"Males",81003,"Bruce",0.83,0.89,1,1.13,1.21,0.013
"2010-2014",39,"Prostate",1,"Males",81004,"Charnwood",0.84,0.91,1.07,1.24,1.34,0.412
"2010-2014",39,"Prostate",1,"Males",81005,"Cook",0.78,0.85,1,1.17,1.27,0.01
"2010-2014",39,"Prostate",1,"Males",81006,"Dunlop",0.87,0.94,1.09,1.24,1.34,0.532
"2010-2014",39,"Prostate",1,"Males",81007,"Evatt",0.91,0.98,1.13,1.3,1.4,0.725
"2010-2014",39,"Prostate",1,"Males",81008,"Florey",0.86,0.92,1.04,1.18,1.26,0.334
"2010-2014",39,"Prostate",1,"Males",81009,"Flynn (ACT)",0.89,0.96,1.11,1.29,1.39,0.641
"2010-2014",39,"Prostate",1,"Males",81010,"Fraser",0.89,0.97,1.13,1.31,1.42,0.684
"2010-2014",39,"Prostate",1,"Males",81011,"Giralang",0.69,0.75,0.91,1.08,1.19,0.527
"2010-2014",39,"Prostate",1,"Males",81013,"Hawker",0.9,0.97,1.12,1.29,1.4,0.699
"2010-2014",39,"Prostate",1,"Males",81014,"Higgins",0.85,0.92,1.05,1.21,1.3,0.379
"2010-2014",39,"Prostate",1,"Males",81015,"Holt",0.93,1,1.16,1.34,1.45,0.799
"2010-2014",39,"Prostate",1,"Males",81016,"Kaleen",0.76,0.82,0.93,1.05,1.12,0.564
"2010-2014",39,"Prostate",1,"Males",81017,"Latham",0.9,0.96,1.1,1.24,1.32,0.638
"2010-2014",39,"Prostate",1,"Males",81019,"Macgregor (ACT)",0.88,0.95,1.09,1.26,1.35,0.572
"2010-2014",39,"Prostate",1,"Males",81020,"Macquarie",0.82,0.88,1.01,1.15,1.24,0.08
"2010-2014",39,"Prostate",1,"Males",81021,"McKellar",0.76,0.84,1,1.19,1.31,0.007
"2010-2014",39,"Prostate",1,"Males",81022,"Melba",0.92,0.99,1.14,1.3,1.39,0.761
"2010-2014",39,"Prostate",1,"Males",81023,"Page",0.82,0.88,1.01,1.16,1.24,0.075
"2010-2014",39,"Prostate",1,"Males",81024,"Scullin",0.82,0.89,1.03,1.2,1.3,0.204
"2010-2014",39,"Prostate",1,"Males",81025,"Spence",0.93,1.03,1.23,1.47,1.61,0.857
"2010-2014",39,"Prostate",1,"Males",81026,"Weetangera",0.81,0.88,1.01,1.15,1.24,0.04
"2010-2014",39,"Prostate",1,"Males",81027,"ACT - South West",0.82,0.86,0.96,1.06,1.12,0.419
"2010-2014",39,"Prostate",1,"Males",81028,"Molonglo",0.9,0.94,1.04,1.16,1.21,0.421
"2010-2014",39,"Prostate",1,"Males",81029,"Namadgi",0.82,0.88,1.01,1.15,1.24,0.054
"2010-2014",39,"Prostate",1,"Males",81030,"ACT - East",0.75,0.8,0.89,0.98,1.04,0.862
"2010-2014",39,"Prostate",1,"Males",81031,"Hume",0.71,0.78,0.92,1.08,1.18,0.505
"2010-2014",39,"Prostate",1,"Males",81032,"Kowen",0.66,0.74,0.9,1.09,1.2,0.52
"2010-2014",39,"Prostate",1,"Males",81033,"Majura",0.75,0.8,0.9,1.01,1.08,0.754
"2010-2014",39,"Prostate",1,"Males",81034,"Amaroo",0.76,0.83,0.97,1.14,1.24,0.184
"2010-2014",39,"Prostate",1,"Males",81035,"Bonner",0.69,0.77,0.95,1.16,1.3,0.271
"2010-2014",39,"Prostate",1,"Males",81036,"Casey",0.68,0.76,0.93,1.14,1.27,0.347
"2010-2014",39,"Prostate",1,"Males",81037,"Crace",0.71,0.77,0.92,1.07,1.17,0.526
"2010-2014",39,"Prostate",1,"Males",81038,"Forde",0.74,0.81,0.96,1.13,1.23,0.28
"2010-2014",39,"Prostate",1,"Males",81039,"Franklin",0.66,0.74,0.9,1.1,1.22,0.491
"2010-2014",39,"Prostate",1,"Males",81040,"Gungahlin",0.74,0.8,0.91,1.04,1.11,0.649
"2010-2014",39,"Prostate",1,"Males",81041,"Gungahlin - East",0.79,0.84,0.94,1.06,1.13,0.477
"2010-2014",39,"Prostate",1,"Males",81042,"Gungahlin - West",0.8,0.86,0.99,1.13,1.22,0.099
"2010-2014",39,"Prostate",1,"Males",81043,"Hall",0.84,0.95,1.18,1.48,1.67,0.665
"2010-2014",39,"Prostate",1,"Males",81044,"Harrison",0.71,0.78,0.94,1.11,1.22,0.39
"2010-2014",39,"Prostate",1,"Males",81045,"Mitchell",0.75,0.8,0.92,1.05,1.13,0.562
"2010-2014",39,"Prostate",1,"Males",81046,"Ngunnawal",0.72,0.78,0.91,1.05,1.14,0.602
"2010-2014",39,"Prostate",1,"Males",81047,"Nicholls",0.75,0.82,0.94,1.07,1.15,0.463
"2010-2014",39,"Prostate",1,"Males",81048,"Palmerston",0.71,0.77,0.91,1.06,1.16,0.579
"2010-2014",39,"Prostate",1,"Males",81049,"Acton",0.76,0.84,0.99,1.16,1.27,0.088
"2010-2014",39,"Prostate",1,"Males",81050,"Ainslie",0.72,0.78,0.89,1.02,1.09,0.726
"2010-2014",39,"Prostate",1,"Males",81051,"Braddon",0.73,0.79,0.92,1.06,1.14,0.571
"2010-2014",39,"Prostate",1,"Males",81052,"Campbell",0.71,0.78,0.91,1.06,1.15,0.576
"2010-2014",39,"Prostate",1,"Males",81053,"Civic",0.71,0.78,0.93,1.12,1.23,0.383
"2010-2014",39,"Prostate",1,"Males",81054,"Dickson",0.75,0.81,0.93,1.07,1.15,0.499
"2010-2014",39,"Prostate",1,"Males",81055,"Downer",0.73,0.8,0.94,1.1,1.2,0.409
"2010-2014",39,"Prostate",1,"Males",81056,"Hackett",0.72,0.79,0.91,1.06,1.14,0.571
"2010-2014",39,"Prostate",1,"Males",81057,"Lyneham",0.78,0.83,0.93,1.03,1.1,0.634
"2010-2014",39,"Prostate",1,"Males",81058,"O'Connor (ACT)",0.87,0.93,1.06,1.2,1.28,0.423
"2010-2014",39,"Prostate",1,"Males",81059,"Reid",0.72,0.79,0.93,1.09,1.19,0.459
"2010-2014",39,"Prostate",1,"Males",81060,"Turner",0.8,0.86,1,1.16,1.24,0.012
