Width,Height,Count
2560,1325,6
1024,1292,6
3072,1647,6
326,552,6
384,708,5
414,765,5
1680,945,4
1504,1499,4
1344,1001,4
1216,1058,4
1389,863,4
1800,1022,4
1440,681,4
1920,982,4
1006,668,4
393,760,4
724,319,4
2276,1584,4
1232,1336,4
1512,935,4
412,900,4
718,503,4
352,627,4
960,968,4
1212,823,4
920,988,4
412,824,4
414,792,4
820,1180,4
3840,1481,4
756,312,4
910,1335,4
1282,787,4
1200,1045,4
1896,1155,4
678,926,4
390,701,4
485,849,4
1557,941,4
1471,1060,4
2155,1122,4
412,665,4
1792,922,4
2548,1289,4
412,714,4
1482,714,4
1205,617,4
1034,690,4
1918,920,4
360,656,4
1877,941,4
877,1235,4
1080,1818,4
1652,916,4
339,622,4
2304,1159,4
647,940,4
1112,766,4
384,704,4
1429,986,4
430,480,4
414,794,4
980,1550,4
872,344,4
1168,868,4
390,658,4
1728,1070,4
400,744,4
522,847,4
1796,1250,4
375,714,4
1280,3000,4
320,524,4
1080,1816,4
1512,838,4
1280,920,4
1504,1592,4
1846,1067,4
3011,1234,4
1180,700,4
797,354,4
673,796,4
458,901,4
3456,1928,4
358,686,4
1504,1582,4
1144,587,4
360,693,4
844,342,4
450,284,4
1326,915,4
1151,1031,4
1248,746,4
2048,1305,4
611,1014,4
1370,1200,4
402,756,4
2144,1057,4
1512,787,4
1280,887,4
322,775,4
834,997,4
1432,886,4
358,649,4
375,589,4
1300,948,4
432,786,4
3840,1502,4
384,753,4
607,276,4
1146,681,4
3008,1571,4
1187,595,4
374,701,4
1376,1308,4
375,675,4
1482,840,4
423,724,4
800,450,4
832,380,4
1080,1765,4
1900,1035,4
378,744,4
1238,855,4
1291,922,4
1165,671,4
1604,1012,4
2560,937,4
1902,953,4
1513,1180,4
2476,1377,4
450,721,4
1680,857,4
2560,1355,4
1135,823,4
1850,1370,4
384,739,4
718,850,4
1470,782,4
1862,995,4
2611,1263,4
376,687,4
1817,961,4
685,1064,4
1764,1232,4
1728,942,4
375,739,4
1470,808,4
1234,832,4
1239,712,4
2402,1201,4
2000,1566,4
1270,915,4
1024,504,4
1347,1161,4
1280,641,4
412,794,4
1486,702,4
1280,589,4
980,1790,4
1920,949,4
455,681,4
2415,1780,4
795,700,4
843,791,4
1885,908,4
1483,1156,4
1236,1224,4
1347,1067,4
1332,805,4
1864,1391,4
501,970,4
1398,791,4
3491,1822,4
1270,942,4
1728,991,4
1718,1279,4
1440,678,4
1050,1045,4
1007,910,4
349,684,4
822,816,4
1534,935,4
1565,1122,4
863,942,4
412,612,4
616,1068,4
1440,2457,4
360,698,4
980,1949,4
2514,1310,4
1792,953,4
1920,873,4
412,828,4
1470,793,4
736,362,4
414,724,4
3440,1289,4
1292,911,4
834,1006,4
1567,931,4
1707,1229,4
1366,684,4
1426,923,4
358,698,4
390,646,4
1366,607,4
3840,1984,4
414,710,4
504,924,4
430,737,4
2400,1300,4
1501,828,4
500,194,4
562,607,4
1471,879,4
1024,735,4
1418,843,4
980,1733,4
1463,755,4
2326,1420,4
360,705,4
360,692,4
980,1835,4
412,725,4
1440,823,4
980,1860,4
1058,869,4
607,268,4
1366,615,4
1442,1005,4
980,1838,4
418,872,4
883,679,4
1263,968,4
2055,1199,4
3008,1546,4
1800,1073,4
1145,689,4
1727,895,4
1512,783,4
2560,1267,4
1920,932,4
1282,603,4
1411,806,4
1370,728,4
5120,2021,4
378,733,4
1792,1020,4
970,851,4
393,744,4
1080,1807,4
2297,902,4
424,793,4
1700,1395,4
375,613,4
1120,823,4
1440,738,4
803,328,4
2867,1069,4
1920,1047,4
1152,536,4
1654,772,4
768,949,4
686,480,4
1920,940,4
1670,652,4
504,1056,4
1251,1336,4
320,523,4
320,298,4
1669,994,4
225,352,4
384,696,4
932,361,3
3200,890,3
1920,1040,3
2048,1012,3
393,739,3
500,264,3
1156,970,3
1720,1239,3
540,720,3
320,734,3
1294,950,3
1536,755,3
414,740,3
1307,924,3
1440,762,3
393,708,3
2342,1187,3
2046,1262,3
1366,638,3
1200,888,3
384,761,3
450,770,3
1207,970,3
1910,1286,3
393,685,3
1496,746,3
2285,1145,3
1080,1795,3
1504,796,3
1920,993,3
983,883,3
432,812,3
1712,1273,3
2490,1328,3
414,716,3
1619,920,3
384,682,3
375,696,3
997,569,3
408,718,3
1024,1202,3
2145,1255,3
1462,1262,3
349,657,3
1330,910,3
3798,2051,3
1180,663,3
1488,1002,3
1651,1502,3
1431,766,3
1440,752,3
432,814,3
1993,1109,3
480,913,3
1588,922,3
2056,1207,3
1920,971,3
1205,666,3
1278,946,3
1192,970,3
450,795,3
450,755,3
1366,942,3
1866,968,3
1280,625,3
709,964,3
412,804,3
412,775,3
480,818,3
831,332,3
360,552,3
2159,1248,3
1040,978,3
418,904,3
